menu_id,restaurant_id,dish_name,cuisine,is_vegetarian,is_vegan
73,7,Zarda Pulao,Indian,True,True
74,7,Paneer Butter Masala,Indian,True,False
75,7,Pakora,Indian,True,True
76,8,Japanese Pear,Japanese,True,True
77,8,Udon Noodles,Japanese,True,True
78,8,Negiyaki,Japanese,True,True
79,8,Sushi Rolls,Japanese,True,True
80,8,Strawberry Daifuku,Japanese,True,True
81,8,Edamame,Japanese,True,True
82,8,Sakura Mochi,Japanese,True,True
83,8,Takenoko Gohan,Japanese,True,True
84,9,Matcha Latte,Japanese,True,True
85,9,Gyoza,Japanese,True,True
86,9,Green Curry,Japanese,True,True
87,9,Tantanmen,Japanese,True,True
88,9,Hi-Chew,Japanese,True,True
89,9,Miso Ramen,Japanese,True,True
90,9,Umeboshi,Japanese,True,True
91,9,Beef Curry,Japanese,False,False
92,9,Matsutake Gohan,Japanese,True,True
93,9,Tonkotsu Ramen,Japanese,False,False
94,9,Shiitake Mushrooms,Japanese,True,True
95,9,Daifuku,Japanese,True,True
96,10,Matcha Ice Cream,Japanese,True,False
97,10,Udon Noodles,Japanese,True,True
98,10,Gyoza,Japanese,True,True
99,10,Hiyashi Chuka,Japanese,True,True
100,10,Shabu-shabu,Japanese,True,True
101,10,Sushi Rolls,Japanese,True,True
102,10,Enoki Mushrooms,Japanese,True,True
103,10,Karaage,Japanese,True,True
104,10,Karinto,Japanese,True,True
105,10,Yakitori,Japanese,True,True
106,10,Tempura Udon,Japanese,True,True
107,10,Tsukemono,Japanese,True,True
108,10,Tonkotsu Ramen,Japanese,False,False
109,10,Yakizakana,Japanese,True,True
110,10,Takenoko Gohan,Japanese,True,True
111,10,Daifuku,Japanese,True,True
112,11,Hot and Sour Soup,Chinese,True,True
113,11,American Chopsuey,Chinese,True,True
114,11,Zong Zi (Sticky Rice Dumplings),Chinese,True,True
115,11,Hairy Crab,Chinese,True,True
116,11,Chilli Paneer,Chinese,True,False
117,11,Schezwan Fried Rice,Chinese,True,True
118,11,Red Bean Soup,Chinese,True,True
119,11,Gobi Manchurian,Chinese,True,True
120,11,Potato Stir-fry,Chinese,True,True
121,11,Yu Xiang Qie Zi (Fish-Fragrant Eggplant),Chinese,False,False
122,11,Spicy Tofu,Chinese,True,True
123,11,Chongqing Hot Pot,Chinese,True,True
124,11,Chongqing Noodles,Chinese,True,True
125,11,Chilli Mushroom,Chinese,True,True
126,11,Oysters with Black Bean Sauce,Chinese,True,True
127,11,Seaweed Salad,Chinese,True,True
128,12,Butter Chicken,Indian,False,False
129,12,Aloo Methi,Indian,True,True
130,12,Vegetable Jalfrezi,Indian,True,True
131,12,Boondi Raita,Indian,True,True
132,12,Kheer,Indian,True,True
133,12,Aamras Poori,Indian,True,True
134,12,Prawn Curry,Indian,True,True
135,12,Mushroom Masala,Indian,True,True
136,12,Pav Bhaji,Indian,True,True
137,12,Kozhikodan Biryani,Indian,True,True
138,12,Sambar Rice,Indian,True,True
139,12,Tandoori Chicken,Indian,False,False
140,12,Pakora,Indian,True,True
141,13,Matcha Ice Cream,Japanese,True,False
142,13,Udon Noodles,Japanese,True,True
143,13,Yatsuhashi,Japanese,True,True
144,13,Calpis,Japanese,True,True
145,13,Tonkotsu Ramen,Japanese,False,False
146,13,Shichimi Togarashi,Japanese,True,True
147,13,Taiyaki,Japanese,True,True
148,13,Royal Milk Tea,Japanese,True,True
149,13,Okayu,Japanese,True,True
150,14,Hairy Crab,Chinese,True,True
151,14,American Chopsuey,Chinese,True,True
152,14,Beef with Black Bean Sauce,Chinese,False,False
153,14,Bo Cai Chao Fan (Bok Choy Fried Rice),Chinese,True,True
154,14,Char Siu,Chinese,True,True
155,14,Schezwan Fried Rice,Chinese,True,True
156,14,Chicken and Corn Soup,Chinese,False,False
157,14,Gobi Manchurian,Chinese,True,True
158,14,Har Gow (Shrimp Dumplings),Chinese,True,True
159,14,Kung Pao Chicken,Chinese,False,False
160,14,Orange Chicken,Chinese,False,False
161,14,Tea Eggs,Chinese,True,True
162,14,Fish Ball Congee,Chinese,False,False
163,14,Honey Chicken,Chinese,False,False
164,14,Green Bean Soup,Chinese,True,True
165,14,Chongqing Noodles,Chinese,True,True
166,14,Chilli Mushroom,Chinese,True,True
167,14,Peking Duck,Chinese,True,True
168,15,Ma La Tang (Spicy Hot Pot),Chinese,True,True
169,15,Yu Xiang Rou Si (Fish-Fragrant Pork Slivers),Chinese,False,False
170,15,Schezwan Fried Rice,Chinese,True,True
171,15,Yu Xiang Qie Zi (Fish-Fragrant Eggplant),Chinese,False,False
172,15,Braised Short Ribs,Chinese,True,True
173,15,Chilli Mushroom,Chinese,True,True
174,15,Gong Bao Ji Ding (Kung Pao Chicken),Chinese,False,False
175,15,American Chopsuey,Chinese,True,True
176,15,Hui Guo Rou (Twice Cooked Pork),Chinese,False,False
177,15,Garlic Chicken,Chinese,False,False
178,16,American Chopsuey,Chinese,True,True
179,16,Fermented Bean Curd,Chinese,True,True
180,16,Ma Po Dou Fu (Mapo Tofu),Chinese,True,True
181,16,Chilli Paneer,Chinese,True,False
182,16,Schezwan Fried Rice,Chinese,True,True
183,16,Cold Sesame Noodles,Chinese,True,True
184,16,Gobi Manchurian,Chinese,True,True
185,16,Sheng Jian Bao (Pan-Fried Buns),Chinese,True,True
186,16,Chongqing Noodles,Chinese,True,True
187,16,Chilli Mushroom,Chinese,True,True
188,17,Persimmon,Japanese,True,True
189,17,Gyoza,Japanese,True,True
190,17,Sushi Rolls,Japanese,True,True
191,17,Sashimi,Japanese,True,True
192,17,Sake,Japanese,True,True
193,17,Tamago Kake Gohan,Japanese,True,True
194,17,Hakata Ramen,Japanese,True,True
195,17,Sapporo Ramen,Japanese,True,True
196,17,Dango,Japanese,True,True
197,17,Tonkotsu Ramen,Japanese,False,False
198,17,Shiitake Mushrooms,Japanese,True,True
199,17,Hojicha Latte,Japanese,True,True
200,18,Shiratama Dango,Japanese,True,True
201,18,Matcha Ice Cream,Japanese,True,False
202,18,Udon Noodles,Japanese,True,True
203,18,Chuka Idon,Japanese,True,True
204,18,Mikan,Japanese,True,True
205,18,Sushi Rolls,Japanese,True,True
206,18,Maitake Mushrooms,Japanese,True,True
207,18,Curry Rice,Japanese,True,True
208,18,Lotus Root,Japanese,True,True
209,18,Hambagu,Japanese,True,True
210,18,Calpis,Japanese,True,True
211,18,Rice Vinegar,Japanese,True,True
212,18,Amazake,Japanese,True,True
213,18,Tonkotsu Ramen,Japanese,False,False
214,18,Teriyaki Chicken,Japanese,False,False
215,18,Kitsune Udon,Japanese,True,True
216,19,Nama Chocolate,Japanese,True,True
217,19,Ikura Don,Japanese,True,True
218,19,Matcha Ice Cream,Japanese,True,False
219,19,Gyoza,Japanese,True,True
220,19,Udon Noodles,Japanese,True,True
221,19,Nori Seaweed,Japanese,True,True
222,19,Green Tea Latte,Japanese,True,True
223,19,Matcha Latte,Japanese,True,True
224,19,Chazuke,Japanese,True,True
225,19,Strawberry Daifuku,Japanese,True,True
226,19,Hambagu,Japanese,True,True
227,19,Katsudon,Japanese,True,True
228,19,Wakame Seaweed,Japanese,True,True
229,19,Tonkotsu Ramen,Japanese,False,False
230,19,Hijiki Seaweed,Japanese,True,True
231,19,Shiitake Mushrooms,Japanese,True,True
232,19,Takenoko Gohan,Japanese,True,True
233,20,Mysore Pak,Indian,True,True
234,20,Mutton Curry,Indian,True,True
235,20,Idli,Indian,True,True
236,20,Vegetable Pulao,Indian,True,True
237,20,Boondi Raita,Indian,True,True
238,20,Balushahi,Indian,True,True
239,20,Paneer Tikka,Indian,True,False
240,20,Aamras Poori,Indian,True,True
241,20,Banana Chips,Indian,True,True
242,20,Pav Bhaji,Indian,True,True
243,20,Rajma Chawal,Indian,True,True
244,20,Kozhikodan Biryani,Indian,True,True
245,20,Sarson da Saag & Makki di Roti,Indian,True,True
246,20,Papad,Indian,True,True
247,20,Mutton Biryani,Indian,True,True
248,20,Sambar Rice,Indian,True,True
249,21,Mysore Pak,Indian,True,True
250,21,Mutton Curry,Indian,True,True
251,21,Carrot Halwa,Indian,True,True
252,21,Aloo Methi,Indian,True,True
253,21,Sandesh,Indian,True,True
254,21,Bengali Fish Curry,Indian,False,False
255,21,Fish Tikka,Indian,False,False
256,21,Balushahi,Indian,True,True
257,21,Rava Idli,Indian,True,True
258,21,Gulab Jamun,Indian,True,True
259,21,Misi Roti,Indian,True,True
260,21,Aamras Poori,Indian,True,True
261,21,Avial,Indian,True,True
262,21,Appam,Indian,True,True
263,21,Pav Bhaji,Indian,True,True
264,21,Pakora,Indian,True,True
265,21,Lassi,Indian,True,True
266,22,Gomoku Yakisoba,Japanese,True,True
267,22,Chawanmushi,Japanese,True,True
268,22,Matcha Ice Cream,Japanese,True,False
269,22,Gyoza,Japanese,True,True
270,22,Shabu-shabu,Japanese,True,True
271,22,Nikujaga,Japanese,True,True
272,22,Sushi Rolls,Japanese,True,True
273,22,Zenzai,Japanese,True,True
274,22,Strawberry Daifuku,Japanese,True,True
275,22,Hi-Chew,Japanese,True,True
276,22,Tamago Kake Gohan,Japanese,True,True
277,22,Japanese Cheesecake,Japanese,True,False
278,22,Tonkotsu Ramen,Japanese,False,False
279,23,Chingri Malai Curry,Indian,True,True
280,23,Mutton Curry,Indian,True,True
281,23,Kadhi Pakoda,Indian,True,True
282,23,Aamras Poori,Indian,True,True
283,23,Kulfi,Indian,True,True
284,23,Pakora,Indian,True,True
285,23,Malai Kofta,Indian,True,True
286,23,Rasmalai,Indian,True,True
287,23,Paneer Butter Masala,Indian,True,False
288,23,Kerala Beef Fry,Indian,False,False
289,24,Fu Qi Fei Pian (Husband and Wife Lung Slices),Chinese,True,True
290,24,Beef with Black Bean Sauce,Chinese,False,False
291,24,preserved duck egg,Chinese,True,True
292,24,Gobi Manchurian,Chinese,True,True
293,24,Biang Biang Noodles,Chinese,True,True
294,24,Scallops with Garlic Sauce,Chinese,True,True
295,24,Cantonese Roast Goose,Chinese,True,True
296,24,Yu Xiang Qie Zi (Fish-Fragrant Eggplant),Chinese,False,False
297,24,Buddha Jumps Over the Wall,Chinese,True,True
298,24,Fish Ball Congee,Chinese,False,False
299,24,Chilli Mushroom,Chinese,True,True
300,24,Lobster with Ginger and Scallions,Chinese,True,True
301,24,American Chopsuey,Chinese,True,True
302,24,Braised Pork Belly (Hong Shao Rou),Chinese,False,False
303,25,Mutton Curry,Indian,True,True
304,25,Vegetable Pulao,Indian,True,True
305,25,Tomato Soup,Indian,True,True
306,25,Tandoori Roti,Indian,True,True
307,25,Boondi Raita,Indian,True,True
308,25,Dosa,Indian,True,True
309,25,Kerala Fish Curry,Indian,False,False
310,25,Bhindi Masala,Indian,True,True
311,25,Avial,Indian,True,True
312,25,Beetroot Pachadi,Indian,True,True
313,25,Puttu,Indian,True,True
314,25,Malai Kofta,Indian,True,True
315,25,Pakora,Indian,True,True
316,25,Idiyappam,Indian,True,True
317,26,Chilli Paneer,Chinese,True,False
318,26,Schezwan Fried Rice,Chinese,True,True
319,26,Mapo Tofu,Chinese,True,True
320,26,Gobi Manchurian,Chinese,True,True
321,26,Scallops with Garlic Sauce,Chinese,True,True
322,26,Shui Zhu Niu Rou (Water Boiled Beef),Chinese,False,False
323,26,Niu Rou Mian (Beef Noodle Soup),Chinese,False,False
324,26,Beef Lo Mein,Chinese,False,False
325,26,Cha Shao Bao (BBQ Pork Buns),Chinese,False,False
326,26,American Chopsuey,Chinese,True,True
327,27,Tsukemen,Japanese,True,True
328,27,Matcha Ice Cream,Japanese,True,False
329,27,Udon Noodles,Japanese,True,True
330,27,Karaage,Japanese,True,True
331,27,Sushi Rolls,Japanese,True,True
332,27,Zenzai,Japanese,True,True
333,27,Ochazuke,Japanese,True,True
334,27,Tendon,Japanese,True,True
335,27,Zosui,Japanese,True,True
336,27,Burdock Root,Japanese,True,True
337,27,Matsutake Gohan,Japanese,True,True
338,27,Tonkotsu Ramen,Japanese,False,False
339,27,Omurice,Japanese,True,True
340,27,Abura Soba,Japanese,True,True
341,27,Korokke,Japanese,True,True
342,28,Konnyaku,Japanese,True,True
343,28,Persimmon,Japanese,True,True
344,28,Matcha Ice Cream,Japanese,True,False
345,28,Udon Noodles,Japanese,True,True
346,28,Hayashi Rice,Japanese,True,True
347,28,Shimeji Mushrooms,Japanese,True,True
348,28,Karinto,Japanese,True,True
349,28,Sara Udon,Japanese,True,True
350,28,Lotus Root,Japanese,True,True
351,28,Miso Ramen,Japanese,True,True
352,28,Katsudon,Japanese,True,True
353,28,Dango,Japanese,True,True
354,28,Tonkatsu,Japanese,True,True
355,28,Curry Rice,Japanese,True,True
356,28,Dashi,Japanese,True,True
357,28,Pork Cutlet Curry,Japanese,False,False
358,29,Hot and Sour Soup,Chinese,True,True
359,29,Cashew Chicken,Chinese,False,False
360,29,Chilli Paneer,Chinese,True,False
361,29,Schezwan Fried Rice,Chinese,True,True
362,29,General Tso's Chicken,Chinese,False,False
363,29,Gobi Manchurian,Chinese,True,True
364,29,Rou Jia Mo (Meat Sandwich),Chinese,True,True
365,29,Egg Tarts,Chinese,True,True
366,29,Moo Shu Pork,Chinese,False,False
367,29,Gan Bian Si Ji Dou (Dry-Fried Green Beans),Chinese,True,True
368,29,Chilli Mushroom,Chinese,True,True
369,29,American Chopsuey,Chinese,True,True
370,29,Sweet and Sour Spare Ribs,Chinese,True,True
371,29,La Zi Ji (Sichuan Chili Chicken),Chinese,False,False
372,30,Kathi Roll,Indian,True,True
373,30,Sandesh,Indian,True,True
374,30,Idli,Indian,True,True
375,30,Dhokla,Indian,True,True
376,30,Chili Chicken,Indian,False,False
377,30,Sarson da Saag & Makki di Roti,Indian,True,True
378,30,Palkhi Macher Jhol,Indian,True,True
379,30,Badam Milk,Indian,True,True
380,30,Pav Bhaji,Indian,True,True
381,30,Mutton Rogan Josh,Indian,True,True
382,30,Suji Halwa,Indian,True,True
383,30,Dum Aloo,Indian,True,True
384,30,Aamras Poori,Indian,True,True
385,30,Moong Dal Cheela,Indian,True,True
386,30,Chicken Rezala,Indian,False,False
387,30,Puttu,Indian,True,True
388,30,Butter Naan,Indian,True,False
389,30,Fafda,Indian,True,True
390,30,Pakora,Indian,True,True
391,31,Bombil Fry,Indian,True,True
392,31,Aloo Methi,Indian,True,True
393,31,Masala Dosa,Indian,True,True
394,31,Boondi Raita,Indian,True,True
395,31,Mixed Vegetable Curry,Indian,True,True
396,31,Aamras Poori,Indian,True,True
397,31,Avial,Indian,True,True
398,31,Pav Bhaji,Indian,True,True
399,31,Sarson da Saag & Makki di Roti,Indian,True,True
400,31,Butter Naan,Indian,True,False
401,31,Egg Curry,Indian,True,True
402,31,Paneer Butter Masala,Indian,True,False
403,31,Pakora,Indian,True,True
404,31,Amchoor Chicken,Indian,False,False
405,32,Matcha Ice Cream,Japanese,True,False
406,32,Udon Noodles,Japanese,True,True
407,32,Sushi Rolls,Japanese,True,True
408,32,Kakigori,Japanese,True,True
409,32,Korokke,Japanese,True,True
410,32,Kare Pan,Japanese,True,True
411,32,Warabi Mochi,Japanese,True,True
412,32,Japanese Cucumber,Japanese,True,True
413,32,Tonkotsu Ramen,Japanese,False,False
414,32,Royal Milk Tea,Japanese,True,True
415,32,Eggplant,Japanese,True,True
416,33,Kadai Paneer,Indian,True,False
417,33,Boondi Raita,Indian,True,True
418,33,Paneer Tikka,Indian,True,False
419,33,Amchoor Chicken,Indian,False,False
420,33,Biryani,Indian,True,True
421,33,Aamras Poori,Indian,True,True
422,33,Medu Vada,Indian,True,True
423,33,Jackfruit Curry,Indian,True,True
424,33,Pav Bhaji,Indian,True,True
425,33,Idiyappam,Indian,True,True
426,33,Rajma Chawal,Indian,True,True
427,33,Sarson da Saag & Makki di Roti,Indian,True,True
428,33,Sambar,Indian,True,True
429,33,Gatte Ki Sabzi,Indian,True,True
430,33,Chaat,Indian,True,True
431,33,Rava Dosa,Indian,True,True
432,33,Gajar Ka Halwa,Indian,True,True
433,33,Bisi Bele Bath,Indian,True,True
434,34,Matcha Ice Cream,Japanese,True,False
435,34,Gyoza,Japanese,True,True
436,34,Udon Noodles,Japanese,True,True
437,34,Castella,Japanese,True,True
438,34,Yakitori,Japanese,True,True
439,34,Sushi Rolls,Japanese,True,True
440,34,Cream Pan,Japanese,True,True
441,34,Beef Curry,Japanese,False,False
442,34,Amazake,Japanese,True,True
443,34,Sakura Mochi,Japanese,True,True
444,34,Tonkotsu Ramen,Japanese,False,False
445,34,Konpeito,Japanese,True,True
446,34,Okayu,Japanese,True,True
447,35,Persimmon,Japanese,True,True
448,35,Chawanmushi,Japanese,True,True
449,35,Matcha Ice Cream,Japanese,True,False
450,35,Udon Noodles,Japanese,True,True
451,35,Gyoza,Japanese,True,True
452,35,Oyakodon,Japanese,True,True
453,35,Sushi Rolls,Japanese,True,True
454,35,Nameko Mushrooms,Japanese,True,True
455,35,Hambagu,Japanese,True,True
456,35,Takoyaki,Japanese,True,True
457,35,Konpeito,Japanese,True,True
458,35,Hiyashi Chuka,Japanese,True,True
459,35,Oden,Japanese,True,True
460,36,Gomoku Yakisoba,Japanese,True,True
461,36,Matcha Ice Cream,Japanese,True,False
462,36,Udon Noodles,Japanese,True,True
463,36,Senbei,Japanese,True,True
464,36,Sukiyaki,Japanese,True,True
465,36,Sudachi,Japanese,True,True
466,36,Hayashi Rice,Japanese,True,True
467,36,Wasabi,Japanese,True,True
468,36,Zosui,Japanese,True,True
469,36,Strawberry Daifuku,Japanese,True,True
470,36,Yatsuhashi,Japanese,True,True
471,36,Soy Sauce,Japanese,True,True
472,36,Dango,Japanese,True,True
473,36,Tonkotsu Ramen,Japanese,False,False
474,36,Nimono,Japanese,True,True
475,36,Kitsune Udon,Japanese,True,True
476,37,Lu Rou Fan (Braised Pork Rice),Chinese,False,False
477,37,Szechuan Shrimp,Chinese,True,True
478,37,Beef with Black Bean Sauce,Chinese,False,False
479,37,Deep-Fried Dough Sticks (Youtiao),Chinese,True,True
480,37,Chilli Paneer,Chinese,True,False
481,37,Cold Sesame Noodles,Chinese,True,True
482,37,Gobi Manchurian,Chinese,True,True
483,37,Spicy Cucumber Salad,Chinese,True,True
484,37,Noodle Soup,Chinese,True,True
485,37,Lion's Head Meatballs,Chinese,True,True
486,37,Siu Mai (Pork and Shrimp Dumplings),Chinese,False,False
487,37,Congee,Chinese,True,True
488,37,Char Siu Bao (BBQ Pork Buns),Chinese,False,False
489,38,Matcha Ice Cream,Japanese,True,False
490,38,Gyoza,Japanese,True,True
491,38,Udon Noodles,Japanese,True,True
492,38,Wasabi,Japanese,True,True
493,38,Ginger,Japanese,True,True
494,38,Coffee Jelly,Japanese,True,True
495,38,Negiyaki,Japanese,True,True
496,38,Niku Udon,Japanese,True,True
497,38,Calpis,Japanese,True,True
498,38,Ramen,Japanese,True,True
499,38,Daikon Radish,Japanese,True,True
500,39,Sushi,Japanese,True,True
501,39,Matcha Ice Cream,Japanese,True,False
502,39,Udon Noodles,Japanese,True,True
503,39,Senbei,Japanese,True,True
504,39,Sukiyaki,Japanese,True,True
505,39,Ginger,Japanese,True,True
506,39,Sushi Rolls,Japanese,True,True
507,39,Zenzai,Japanese,True,True
508,39,Tonkotsu Ramen,Japanese,False,False
509,40,Green Onions,Japanese,True,True
510,40,Matcha Ice Cream,Japanese,True,False
511,40,Gyoza,Japanese,True,True
512,40,Udon Noodles,Japanese,True,True
513,40,Enoki Mushrooms,Japanese,True,True
514,40,Sudachi,Japanese,True,True
515,40,Sushi Rolls,Japanese,True,True
516,40,Tonkotsu Ramen,Japanese,False,False
517,40,Shoyu Ramen,Japanese,True,True
518,40,Jam Pan,Japanese,True,True
519,40,Mirin,Japanese,True,True
520,41,Aloo Posto,Indian,True,True
521,41,Dahi Puri,Indian,True,True
522,41,Dum Aloo,Indian,True,True
523,41,Boondi Raita,Indian,True,True
524,41,Kheer,Indian,True,True
525,41,Kadhi Pakoda,Indian,True,True
526,41,Aamras Poori,Indian,True,True
527,41,Jackfruit Curry,Indian,True,True
528,41,Pav Bhaji,Indian,True,True
529,41,Kerala Beef Fry,Indian,False,False
530,41,Mutton Rogan Josh,Indian,True,True
531,41,Sarson da Saag & Makki di Roti,Indian,True,True
532,41,Sambar Rice,Indian,True,True
533,41,Yogurt Rice,Indian,True,True
534,41,Dal Tadka,Indian,True,True
535,41,Pakora,Indian,True,True
536,42,Carrot Halwa,Indian,True,True
537,42,Mutton Curry,Indian,True,True
538,42,Fish Curry,Indian,False,False
539,42,Boondi Raita,Indian,True,True
540,42,Baby Corn Manchurian,Indian,True,True
541,42,Aamras Poori,Indian,True,True
542,42,Mushroom Masala,Indian,True,True
543,42,Beetroot Pachadi,Indian,True,True
544,42,Lemon Rice,Indian,True,True
545,42,Sarson da Saag & Makki di Roti,Indian,True,True
546,42,Puttu,Indian,True,True
547,42,Irani Chai,Indian,True,True
548,42,Pakora,Indian,True,True
549,43,Soy Milk,Chinese,True,True
550,43,Dongpo Pork,Chinese,False,False
551,43,General Tso's Chicken,Chinese,False,False
552,43,Steamed Buns (Mantou),Chinese,True,True
553,43,Gobi Manchurian,Chinese,True,True
554,43,Tea Eggs,Chinese,True,True
555,43,American Chopsuey,Chinese,True,True
556,44,Shiratama Dango,Japanese,True,True
557,44,Matcha Ice Cream,Japanese,True,False
558,44,Gyoza,Japanese,True,True
559,44,Udon Noodles,Japanese,True,True
560,44,Matcha Pudding,Japanese,True,True
561,44,Kusa Mochi,Japanese,True,True
562,44,Sushi Rolls,Japanese,True,True
563,44,Sashimi,Japanese,True,True
564,44,Soy Sauce,Japanese,True,True
565,44,Isobe Mochi,Japanese,True,True
566,44,Tanuki Udon,Japanese,True,True
567,44,Wagashi,Japanese,True,True
568,44,Tonkotsu Ramen,Japanese,False,False
569,44,Chitose Ame,Japanese,True,True
570,44,Green Curry,Japanese,True,True
571,44,Hiyashi Chuka,Japanese,True,True
572,44,Eggplant,Japanese,True,True
573,45,Soya Chaap,Indian,True,True
574,45,Mutton Curry,Indian,True,True
575,45,Vegetable Jalfrezi,Indian,True,True
576,45,Tomato Soup,Indian,True,True
577,45,Bengali Fish Curry,Indian,False,False
578,45,Dhokla,Indian,True,True
579,45,Aamras Poori,Indian,True,True
580,45,Avial,Indian,True,True
581,45,Pav Bhaji,Indian,True,True
582,45,Hyderabadi Biryani,Indian,True,True
583,45,Sarson da Saag & Makki di Roti,Indian,True,True
584,45,Vegetable Biryani,Indian,True,True
585,45,Mutton Biryani,Indian,True,True
586,45,Chole Bhature,Indian,True,True
587,45,Paneer Butter Masala,Indian,True,False
588,45,Pakora,Indian,True,True
589,45,Tandoori Chicken,Indian,False,False
590,45,Idiyappam,Indian,True,True
591,46,Soya Chaap,Indian,True,True
592,46,Chingri Malai Curry,Indian,True,True
593,46,Vegetable Jalfrezi,Indian,True,True
594,46,Masala Dosa,Indian,True,True
595,46,Naan,Indian,True,True
596,46,Chicken Korma,Indian,False,False
597,46,Boondi Raita,Indian,True,True
598,46,Mixed Vegetable Curry,Indian,True,True
599,46,Chili Chicken,Indian,False,False
600,46,Aamras Poori,Indian,True,True
601,46,Sheer Khurma,Indian,True,True
602,46,Kadhi Pakoda,Indian,True,True
603,46,Sarson da Saag & Makki di Roti,Indian,True,True
604,46,Gatte Ki Sabzi,Indian,True,True
605,46,Pakora,Indian,True,True
606,46,Bisi Bele Bath,Indian,True,True
607,47,Shrimp Fried Rice,Chinese,True,True
608,47,American Chopsuey,Chinese,True,True
609,47,Dou Jiang (Soybean Milk),Chinese,True,True
610,47,Garlic Eggplant,Chinese,True,True
611,47,Potstickers,Chinese,True,True
612,47,Chilli Paneer,Chinese,True,False
613,47,Schezwan Fried Rice,Chinese,True,True
614,47,Cha Shao Bao (BBQ Pork Buns),Chinese,False,False
615,47,Gobi Manchurian,Chinese,True,True
616,47,Sesame Chicken,Chinese,False,False
617,47,Xiao Long Bao (Soup Dumplings),Chinese,True,True
618,47,Baozi (Steamed Filled Buns),Chinese,True,True
619,47,Shrimp Lo Mein,Chinese,True,True
620,47,Green Bean Soup,Chinese,True,True
621,47,Lemon Chicken,Chinese,False,False
622,47,Chilli Mushroom,Chinese,True,True
623,47,Sweet and Sour Spare Ribs,Chinese,True,True
624,48,Butter Chicken,Indian,False,False
